INFO  - 2014-09-15 13:39:06.447; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2014-09-15 13:39:06.572; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-15 13:39:06.578; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-15 13:39:06.699; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-09-15 13:39:07.223; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-15 13:39:07.309; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-15 13:39:07.316; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-15 13:39:07.452; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-15 13:39:07.459; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/hojoon/SmartSearch/SSEngine/solr/collection1/, dataDir=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/
INFO  - 2014-09-15 13:39:07.462; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-09-15 13:39:07.469; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-09-15 13:39:07.470; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-09-15 13:39:07.491; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/hojoon/SmartSearch/SSEngine/solr/collection1/data
INFO  - 2014-09-15 13:39:07.491; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index/
WARN  - 2014-09-15 13:39:07.492; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-09-15 13:39:07.499; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index
INFO  - 2014-09-15 13:39:07.544; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@7caa999; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-15 13:39:07.544; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-15 13:39:07.548; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-09-15 13:39:07.548; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-09-15 13:39:07.549; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-09-15 13:39:07.552; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-09-15 13:39:07.553; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-09-15 13:39:07.638; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-09-15 13:39:07.646; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.647; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.649; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-09-15 13:39:07.649; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.652; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-09-15 13:39:07.654; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2014-09-15 13:39:07.656; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-09-15 13:39:07.656; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-09-15 13:39:07.657; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-09-15 13:39:07.657; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-15 13:39:07.657; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-15 13:39:07.658; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-09-15 13:39:07.658; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-09-15 13:39:07.660; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-09-15 13:39:07.662; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-09-15 13:39:07.664; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-09-15 13:39:07.673; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-09-15 13:39:07.674; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.674; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.674; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.674; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.674; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-09-15 13:39:07.675; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-09-15 13:39:07.675; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.675; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-09-15 13:39:07.675; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
